County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Kings,748554,Store,JAC,SAMS DELI X-PRESS CORP,SAM'S DELI X-PRESS,1268B,MYRTLE AVENUE,,,BROOKLYN,NY,11221,300,POINT (-73.92659 40.69794)
Richmond,748523,Store,JAC,FAMOUS CONVENIENCE INC,FAMOUS CONVENIENCE,416,BROADWAY,,,STATEN ISLAND,NY,10310,1200,POINT (-74.11654 40.63092)
Kings,748508,Store,JAC,CHORIZOS MEAT CORP,CHORIZOS MEAT,5822,5TH AVENUE,,,BROOKLYN,NY,11220,1000,POINT (-74.01541 40.64019)
Queens,748461,Store,JAC,SUNNYSIDE GOURMET INC,SUNNYSIDE GOURMET,63-20,BROADWAY,,,WOODSIDE,NY,11377,0,POINT (-73.89899 40.74992)
Suffolk,748460,Store,JAC,EXCELSIOR FISH CORP,HASKELLS SEAFOOD MARKET,77A,MAIN STREET,,,WESTHAMPTON BEACH,NY,11978,1500,POINT (-72.64406 40.80869)
Kings,748453,Store,JAC,T & A DELI AND GRILL CORP,T & A DELI AND GRILL,234,7TH AVENUE,,,BROOKLYN,NY,11215,0,POINT (-73.97914 40.66979)
Westchester,748447,Store,JAC,GUNKS HOLDINGS CORP,CHESTNUT MARKETS,420,BROADWAY,,,DOBBS FERRY,NY,10522,700,POINT (-73.8694 41.01538)
Kings,748423,Store,JAC,SULAJ GROUP INC,SULAJ GROUP,242,KINGS HIGHWAY,,,BROOKLYN,NY,11223,1000,POINT (-73.98175 40.60534)
Kings,748378,Store,JAC,LOCAL ROOTS NYC LLC,LOCAL ROOTS NYC,398,COURT STREET,,,BROOKLYN,NY,11231,2000,POINT (-73.99669 40.6807)
New York,748333,Store,JAC,BROS CONVENIENCE STORE 1 CORP,BROS CONVENIENCE STORE,2310,7TH AVENUE,,,NEW YORK,NY,10030,1800,POINT (-73.94344 40.81582)
Queens,748314,Store,JAC,VERMILLION MANAGEMENT CORP,C & J PRIME MEATS,59-07,ROOSEVELT AVENUE,,,WOODSIDE,NY,11377,0,POINT (-73.90503 40.74542)
Kings,748286,Store,JAC,18 AVE SUPERMARKET INC,18 AVE SUPERMARKET,1811,86TH STREET,,,BROOKLYN,NY,11214,3500,POINT (-74.00228 40.60704)
Kings,748219,Store,A,AAA HAPPY INC,AAA HAPPY,1468,MYRTLE AVENUE,,,BROOKLYN,NY,11237,1000,POINT (-73.91589 40.69906)
Queens,748202,Store,JAC,ZU FRUIT GROCERY CORP,ZU FRUIT GROCERY,86-18,ROOSEVELT AVENUE,,,JACKSON HEIGHTS,NY,11372,800,POINT (-73.8793 40.74812)
Kings,748201,Store,A,UNIVERSAL CONVENIENCE CORP,UNIVERSAL CONVENIENCE,267,BROADWAY,,,BROOKLYN,NY,11211,800,POINT (-73.95899 40.70882)
Kings,748200,Store,A,PANG PANG GROCERY INC,PANG PANG GROCERY,4910,7TH AVENUE,,,BROOKLYN,NY,11220,600,POINT (-74.0055 40.64283)
